price_id,security_id,price_date,closing_price
1,1,2024-01-01,73.06
2,1,2024-01-02,74.56
3,1,2024-01-03,75.02
4,1,2024-01-04,72.79
5,1,2024-01-05,71.99
6,1,2024-01-06,74.4
7,1,2024-01-07,70.83
8,1,2024-01-08,70.26
9,1,2024-01-09,72.07
10,1,2024-01-10,70.86
11,1,2024-01-11,69.93
12,1,2024-01-12,69.83
13,1,2024-01-13,71.95
14,1,2024-01-14,71.07
15,1,2024-01-15,70.47
16,1,2024-01-16,69.89
17,1,2024-01-17,73.01
18,1,2024-01-18,76.24
19,1,2024-01-19,77.81
20,1,2024-01-20,78.45
21,1,2024-01-21,79.65
22,1,2024-01-22,82.06
23,1,2024-01-23,80.57
24,1,2024-01-24,82.5
25,1,2024-01-25,80.47
26,1,2024-01-26,79.49
27,1,2024-01-27,80.97
28,1,2024-01-28,78.7
29,1,2024-01-29,78.52
30,1,2024-01-30,77.2
31,1,2024-01-31,76.85
32,1,2024-02-01,72.58
33,1,2024-02-02,70.05
34,1,2024-02-03,69.1
35,1,2024-02-04,70.42
36,1,2024-02-05,70.21
37,1,2024-02-06,70.25
38,1,2024-02-07,71.25
39,1,2024-02-08,70.03
40,1,2024-02-09,70.46
41,1,2024-02-10,69.37
42,1,2024-02-11,67.0
43,1,2024-02-12,66.51
44,1,2024-02-13,67.31
45,1,2024-02-14,67.8
46,1,2024-02-15,67.82
47,1,2024-02-16,71.1
48,1,2024-02-17,71.72
49,1,2024-02-18,73.16
50,1,2024-02-19,76.47
51,1,2024-02-20,74.53
52,1,2024-02-21,73.02
53,1,2024-02-22,75.6
54,1,2024-02-23,74.43
55,1,2024-02-24,74.51
56,1,2024-02-25,76.14
57,1,2024-02-26,77.54
58,1,2024-02-27,80.3
59,1,2024-02-28,82.74
60,1,2024-02-29,84.55
61,1,2024-03-01,83.29
62,1,2024-03-02,84.65
63,1,2024-03-03,85.23
64,1,2024-03-04,83.01
65,1,2024-03-05,85.4
66,1,2024-03-06,86.82
67,1,2024-03-07,86.95
68,1,2024-03-08,86.59
69,1,2024-03-09,84.55
70,1,2024-03-10,84.93
71,1,2024-03-11,85.77
72,1,2024-03-12,84.39
73,1,2024-03-13,86.39
74,1,2024-03-14,84.54
75,1,2024-03-15,80.99
76,1,2024-03-16,82.72
77,1,2024-03-17,82.09
78,1,2024-03-18,81.92
79,1,2024-03-19,80.59
80,1,2024-03-20,78.05
81,1,2024-03-21,80.04
82,1,2024-03-22,78.98
83,1,2024-03-23,81.64
84,1,2024-03-24,83.0
85,1,2024-03-25,82.52
86,1,2024-03-26,80.77
87,1,2024-03-27,79.63
88,1,2024-03-28,77.74
89,1,2024-03-29,81.02
90,1,2024-03-30,81.33
91,1,2024-03-31,83.24
92,1,2024-04-01,81.17
93,1,2024-04-02,81.51
94,1,2024-04-03,83.47
95,1,2024-04-04,82.95
96,1,2024-04-05,84.7
97,1,2024-04-06,82.91
98,1,2024-04-07,80.69
99,1,2024-04-08,81.34
100,1,2024-04-09,80.76
101,1,2024-04-10,81.84
102,1,2024-04-11,78.64
103,1,2024-04-12,79.8
104,1,2024-04-13,83.99
105,1,2024-04-14,83.99
106,1,2024-04-15,84.09
107,1,2024-04-16,84.43
108,1,2024-04-17,81.33
109,1,2024-04-18,82.07
110,1,2024-04-19,79.47
111,1,2024-04-20,78.83
112,1,2024-04-21,80.83
113,1,2024-04-22,79.68
114,1,2024-04-23,80.52
115,1,2024-04-24,82.19
116,1,2024-04-25,82.69
117,1,2024-04-26,80.47
118,1,2024-04-27,79.97
119,1,2024-04-28,83.15
120,1,2024-04-29,79.82
121,1,2024-04-30,79.42
122,1,2024-05-01,78.58
123,1,2024-05-02,78.81
124,1,2024-05-03,80.03
125,1,2024-05-04,82.64
126,1,2024-05-05,82.24
127,1,2024-05-06,83.62
128,1,2024-05-07,84.49
129,1,2024-05-08,85.34
130,1,2024-05-09,84.42
131,1,2024-05-10,82.78
132,1,2024-05-11,81.0
133,1,2024-05-12,79.81
134,1,2024-05-13,80.37
135,1,2024-05-14,81.63
136,1,2024-05-15,82.2
137,1,2024-05-16,81.34
138,1,2024-05-17,84.31
139,1,2024-05-18,86.92
140,1,2024-05-19,86.35
141,1,2024-05-20,84.97
142,1,2024-05-21,85.23
143,1,2024-05-22,87.43
144,1,2024-05-23,88.06
145,1,2024-05-24,89.08
146,1,2024-05-25,88.75
147,1,2024-05-26,89.6
148,1,2024-05-27,92.42
149,1,2024-05-28,92.02
150,1,2024-05-29,92.33
151,1,2024-05-30,92.85
152,1,2024-05-31,93.42
153,1,2024-06-01,90.83
154,1,2024-06-02,87.46
155,1,2024-06-03,85.72
156,1,2024-06-04,86.05
157,1,2024-06-05,87.05
158,1,2024-06-06,86.17
159,1,2024-06-07,88.59
160,1,2024-06-08,88.38
161,1,2024-06-09,88.46
162,1,2024-06-10,88.16
163,1,2024-06-11,88.44
164,1,2024-06-12,89.73
165,1,2024-06-13,90.97
166,1,2024-06-14,89.38
167,1,2024-06-15,92.15
168,1,2024-06-16,90.18
169,1,2024-06-17,90.36
170,1,2024-06-18,89.91
171,1,2024-06-19,88.07
172,1,2024-06-20,87.98
173,1,2024-06-21,86.72
174,1,2024-06-22,86.89
175,1,2024-06-23,87.64
176,1,2024-06-24,90.26
177,1,2024-06-25,90.86
178,1,2024-06-26,89.8
179,1,2024-06-27,89.14
180,1,2024-06-28,89.43
181,1,2024-06-29,89.64
182,1,2024-06-30,92.31
183,1,2024-07-01,94.93
184,1,2024-07-02,94.29
185,1,2024-07-03,93.31
186,1,2024-07-04,88.58
187,1,2024-07-05,87.65
188,1,2024-07-06,85.98
189,1,2024-07-07,85.41
190,1,2024-07-08,86.13
191,1,2024-07-09,86.47
192,1,2024-07-10,86.47
193,1,2024-07-11,86.85
194,1,2024-07-12,86.68
195,1,2024-07-13,87.06
196,1,2024-07-14,81.48
197,1,2024-07-15,81.08
198,1,2024-07-16,80.94
199,1,2024-07-17,80.43
200,1,2024-07-18,80.12
201,1,2024-07-19,81.29
202,1,2024-07-20,80.36
203,1,2024-07-21,83.93
204,1,2024-07-22,85.13
205,1,2024-07-23,85.16
206,1,2024-07-24,84.85
207,1,2024-07-25,84.75
208,1,2024-07-26,83.24
209,1,2024-07-27,83.12
210,1,2024-07-28,83.63
211,1,2024-07-29,84.64
212,1,2024-07-30,85.66
213,1,2024-07-31,85.23
214,1,2024-08-01,82.86
215,1,2024-08-02,81.8
216,1,2024-08-03,84.47
217,1,2024-08-04,86.03
218,1,2024-08-05,86.71
219,1,2024-08-06,85.43
220,1,2024-08-07,85.48
221,1,2024-08-08,83.38
222,1,2024-08-09,82.5
223,1,2024-08-10,82.14
224,1,2024-08-11,81.58
225,1,2024-08-12,83.18
226,1,2024-08-13,80.87
227,1,2024-08-14,79.51
228,1,2024-08-15,77.36
229,1,2024-08-16,75.48
230,1,2024-08-17,75.71
231,1,2024-08-18,73.32
232,1,2024-08-19,74.47
233,1,2024-08-20,74.14
234,1,2024-08-21,74.27
235,1,2024-08-22,74.79
236,1,2024-08-23,74.18
